
Killingworth Town Clerk,323 Route 81 Killingworth CT 06419,(860) 663-1616
Lebanon Town Clerk,579 Exeter Road Lebanon CT 06249,(860) 642-7319
Ledyard Town Clerk,741 Colonel Ledyard Hwy Ledyard CT 06339,(860) 464-8740
Lisbon Town Clerk,One Newert Road Lisbon CT 06351,(860) 376-2708
Litchfield Town Clerk,P.O. Box 488 Litchfield CT 06759,(860) 567-7561
Lyme Town Clerk,480 Hamburg Road Lyme CT 06371,(860) 434-7733
Madison Town Clerk,8 Campus Drive Madison CT 06443,(203) 245-5672
Manchester Town Clerk,41 Center Street Manchester CT 06040,(860) 647-3037
Mansfield Town Clerk,4 South Eagleville Road Storrs CT 06268,(860) 429-3302
Marlborough Town Clerk,P.O. Box 29 Marlborough CT 06447,(860) 295-6206
Meriden T & City Clerk,142 East Main St. RM 124 Meriden CT 06450,(203) 630-4031
Middlebury,Middlebury Vital Statistics P.O. Box 392 Middlebury CT 06762,(203) 758-2557
Middlefield Town Clerk,P.O. Box 179 Middlefield CT 06445,(860) 349-7116
Middletown,Middletown Vital Records P.O. Box 1300 Middletown CT 06457,(860) 344-3477
Milford T & City Clerk,70 West River Street Milford CT 06460,(203) 783-3210
Monroe Town Clerk,7 Fan Hill Road Monroe CT 06468,(203) 452-5417
Montville Town Clerk,310 Norwich/New London Rd Uncasville CT 06382,(860) 848-1349
Morris Town Clerk,P.O. Box 66 Morris CT 06763,(860) 567-7433
Naugatuck Town Clerk,229 Church Street Naugatuck CT 06770,(203) 720-7055
New Britain T & City Clerk,27 West Main Street New Britain CT 06051,(860) 826-3344
New Canaan Town Clerk,77 Main Street New Canaan CT 06840,(203) 972-2323
New Fairfield Town Clerk,4 Brush Hill Road New Fairfield CT 06812,(203) 312-5616
New Hartford Town Clerk,P.O. Box 316 New Hartford CT 06057,(860) 379-5037
New Haven,New Haven Vital Statistics 165 Church Street New Haven CT 06510,(203) 946-8084
New London T & City Clerk,181 State Street New London CT 06320,(860) 447-5205
New Milford Town Clerk,P.O. Box 360 New Milford CT 06776,(860) 355-6020
Newington Town Clerk,131 Cedar Street Newington CT 06111,(860) 665-8545
Newtown Town Clerk,45 Main Street Newtown CT 06470,(203) 270-4210
Norfolk Town Clerk,P.O. Box 552 Norfolk CT 06058,(860) 542-5679
North Branford Town Clerk,P.O. Box 287 North Branford CT 06471,(203) 315-6015
North Canaan Town Clerk,P.O. Box 338 North Canaan CT 06018,(860) 824-3138
North Haven Town Clerk,18 Church Street North Haven CT 06473,(203) 239-5321
North Stonington Town Clerk,40 Main Street North Stonington CT 06359,(860) 535-2877
Norwalk Town Clerk,P.O. Box 5125 Norwalk CT 06856,(203) 854-7746
Norwich T & City Clerk,100 Broadway Norwich CT 06360,(860) 823-3732
Old Lyme Town Clerk,P.O. Box 338 Old Lyme CT 06371,(860) 434-1655
Old Saybrook Town Clerk,302 Main Street Old Saybrook CT 06475,(860) 395-3135
Orange Town Clerk,617 Orange Center Rd Orange CT 06477,(203) 891-2122
Oxford Town Clerk,486 Oxford Road Oxford CT 06478,(203) 888-2543
Plainfield Town Clerk,8 Community Avenue Plainfield CT 06374,(860)230-3010
Plainville Town Clerk,One Central Square Plainville CT 06062,(860) 793-0221
Plymouth Town Clerk,80 Main Street Terryville CT 06786,(860) 585-4039
Pomfret Town Clerk,5 Haven Road Pomfret Center CT 06259,(860) 974-0343
Portland Town Clerk,P.O. Box 71 Portland CT 06480,(860) 342-6743
Preston Town Clerk,389 Route 2 Preston CT 06365,(860) 887-9821
Prospect Town Clerk,36 Center Street Prospect CT 06712,(203) 758-4461
Putnam Town Clerk,126 Church Street Putnam CT 06260,(860) 963-6807
Redding Town Clerk,Route 107 Redding Center CT 06875,(203) 938-2377
Ridgefield Town Clerk,400 Main Street Ridgefield CT 06877,(203) 431-2783
Rocky Hill Town Clerk,P. O. Box 657 Rocky Hill CT 06067,(860) 258-2705
Roxbury Town Clerk,29 North Street Roxbury CT 06783,(860) 354-3328
Salem Town Clerk,270 Hartford Road Salem CT 06420,(860) 859-3873
Salisbury Town Clerk,P.O. Box 548 Salisbury CT 06068,(860) 435-5182
Scotland Town Clerk,P.O. Box 122 Scotland CT 06264,(860) 423-9634
Seymour Town Clerk,One First Street Seymour CT 06483,(203) 888-0519
Sharon Town Clerk,P.O. Box 224 Sharon CT 06069,(860) 364-5224
Shelton Town Clerk,P.O. Box 364 Shelton CT 06484,(203) 924-1555
Sherman Town Clerk,P.O. Box 39 Sherman CT 06784,(860) 354-5281
Simsbury Town Clerk,P.O. Box 495 Simsbury CT 06070,(860) 658-3243
Somers Town Clerk,P.O. Box 308 Somers CT 06071,(860) 763-8206
South Windsor Town Clerk,1540 Sullivan Avenue South Windsor 06074 (860) 644-2511
Southbury Town Clerk,501 Main Street South Southbury CT 06488,(203) 262-0657
Southington Town Clerk,75 Main Street Southington CT 06489,(860) 276-6211
Sprague Town Clerk,P.O. Box 162 Baltic CT 06330,(860) 822-3001
Stafford Town Clerk,P.O. Box 11 Stafford Springs CT 06076,(860) 684-2532
Stamford,Stamford Registrar Vital Rec. P.O. Box 891 Stamford CT 06904,(203) 977-4056
Sterling Town Clerk,P.O. Box 157 Oneco CT 06373,(860) 564-2657
Stonington Town Clerk,P.O. Box 352 Stonington CT 06378,(860) 535-5060
Stratford Town Clerk,2725 Main Street Stratford CT 06497,(203) 385-4020
Suffield Town Clerk,83 Mountain Road Suffield CT 06078,(860) 668-3880
Thomaston Town Clerk,158 Main Street T homaston CT 06787,(860) 283-4141
Thompson Town Clerk,815 Riverside Drive N. Grosvernordale CT 06255,(860) 923-9900
Tolland T & City Clerk,21 Tolland Green Tolland CT 06084,(860) 871-3630
Torrington T & City Clerk,140 Main Street Torrington CT 06790,(860) 489-2236
Trumbull Town Clerk,5866 Main Street Trumbull CT 06611,(203) 452-5035
Union Town Clerk,1043 Buckley Highway Union CT 06076,(860) 684-3770
Vernon Town Clerk,14 Park Place Vernon CT 06066,(860) 872-8591
Voluntown Town Clerk,P.O. Box 96 Voluntown CT 06384,(860) 376-4089
Wallingford Town Clerk,P.O. Box 427 Wallingford CT 06492,(203) 294-2145
Warren Town Clerk,7 Sackett Hill Road Warren CT 06754,(860) 868-0090
Washington Town Clerk,P.O. Box 383 WashingtonDepot CT 06794,(860) 868-2786
Waterbury T/C Vital Statistics 235 Grand Street Waterbury CT 06702,(203) 574-6801
Waterford Town Clerk,15 Rope Ferry Road Waterford CT 06385,(860) 444-5831
Watertown Town Clerk,37 Deforest Street Watertown CT 06795,(860) 945-5230
West Hartford Town Clerk,355 Main Street West Haven CT 06516,(203) 937-3535
Westbrook,Westbrook Hall of Records P.O. Box G Westbrook CT 06498,(860) 399-3044
Weston Town Clerk,P.O. Box 1007 Weston CT 06883,(203) 222-2616
Westport Town Clerk,P.O. Box 549 Westport CT 06880,(203) 341-1105
Wethersfield Town Clerk,505 Silas Deane Highway Wethersfield CT 06109,(860) 721-2880
Willington Town Clerk,40 Old Farms Road Willington CT 06279,(860) 429-9965
Wilton Town Clerk,238 Danbury Road Wilton CT 06897,(203) 563-0106
Winchester Town Clerk,338 Main Street Winsted CT 06098,(860) 379-2713
Windham Town Clerk,P.O. Box 94 Willimantic CT 06226,(860) 465-3013
Windsor Town Clerk,275 Broad Street Windsor CT 06095,(860) 285-1900
Windsor Locks T/ Clerk,50 Church Street Windsor Locks CT 06096,(860) 627-1441
Wolcott Town Clerk,10 Kenea Avenue Wolcott CT 06716,(203) 879-8100
Woodbridge Town Clerk,11 Meetinghouse Lane Woodbridge CT 06525,(203) 389-3425
Woodbury Town Clerk,P.O. Box 369 Woodbury CT 06798,(203) 263-2144
Woodstock Town Clerk,415 Route 169 Woodstock CT 06281,(860) 928-6595
